rodada,adv,equipe_contraAvgpontuacao,equipe_contraLastpontuacao,equipe_contraAvgMov5pontuacao,equipe_contraAvgMov10pontuacao,equipe_contraAvgDS,equipe_contraLastDS,equipe_contraAvgMov5DS,equipe_contraAvgMov10DS,equipe_contraAvgFC,equipe_contraLastFC,equipe_contraAvgMov5FC,equipe_contraAvgMov10FC,equipe_contraAvgFF,equipe_contraLastFF,equipe_contraAvgMov5FF,equipe_contraAvgMov10FF,equipe_contraAvgFS,equipe_contraLastFS,equipe_contraAvgMov5FS,equipe_contraAvgMov10FS,equipe_contraAvgCA,equipe_contraLastCA,equipe_contraAvgMov5CA,equipe_contraAvgMov10CA,equipe_contraAvgFD,equipe_contraLastFD,equipe_contraAvgMov5FD,equipe_contraAvgMov10FD,equipe_contraAvgFT,equipe_contraLastFT,equipe_contraAvgMov5FT,equipe_contraAvgMov10FT,equipe_contraAvgG,equipe_contraLastG,equipe_contraAvgMov5G,equipe_contraAvgMov10G,equipe_contraAvgDE,equipe_contraLastDE,equipe_contraAvgMov5DE,equipe_contraAvgMov10DE,equipe_contraAvgGS,equipe_contraLastGS,equipe_contraAvgMov5GS,equipe_contraAvgMov10GS,equipe_contraAvgGC,equipe_contraLastGC,equipe_contraAvgMov5GC,equipe_contraAvgMov10GC,equipe_contraAvgI,equipe_contraLastI,equipe_contraAvgMov5I,equipe_contraAvgMov10I,equipe_contraAvgSG,equipe_contraLastSG,equipe_contraAvgMov5SG,equipe_contraAvgMov10SG,equipe_contraAvgA,equipe_contraLastA,equipe_contraAvgMov5A,equipe_contraAvgMov10A,equipe_contraAvgV,equipe_contraLastV,equipe_contraAvgMov5V,equipe_contraAvgMov10V,equipe_contraAvgPS,equipe_contraLastPS,equipe_contraAvgMov5PS,equipe_contraAvgMov10PS,equipe_contraAvgPC,equipe_contraLastPC,equipe_contraAvgMov5PC,equipe_contraAvgMov10PC,equipe_contraAvgCV,equipe_contraLastCV,equipe_contraAvgMov5CV,equipe_contraAvgMov10CV,equipe_contraAvgDP,equipe_contraLastDP,equipe_contraAvgMov5DP,equipe_contraAvgMov10DP,equipe_contraAvgPP,equipe_contraLastPP,equipe_contraAvgMov5PP,equipe_contraAvgMov10PP
26,Corinthians,56.13,53.25,55.62,52.17,15.42,11.0,16.0,14.7,14.46,14.0,13.6,13.9,6.17,7.0,7.2,7.2,13.08,13.0,15.0,14.4,2.42,5.0,2.6,2.4,3.5,5.0,3.6,3.9,0.42,0.0,0.4,0.4,1.08,2.0,1.0,0.9,2.92,1.0,2.8,2.7,1.04,1.0,0.8,1.3,0.04,0.0,0.0,0.0,1.04,2.0,0.8,0.7,1.75,0.0,1.4,1.4,0.79,2.0,0.8,0.7,0.38,1.0,0.4,0.2,0.12,0.0,0.4,0.2,0.17,0.0,0.0,0.2,0.12,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.1
27,Corinthians,55.86,49.53,53.79,50.09,15.48,17.0,15.4,15.3,14.36,12.0,13.0,13.8,6.12,5.0,6.4,6.9,12.76,5.0,13.0,12.9,2.44,3.0,3.0,2.4,3.6,6.0,4.2,4.0,0.44,1.0,0.4,0.5,1.08,1.0,1.0,1.0,2.96,4.0,2.4,3.0,1.04,1.0,0.8,1.4,0.04,0.0,0.0,0.0,1.04,1.0,1.0,0.6,1.68,0.0,1.4,0.7,0.8,1.0,1.0,0.8,0.36,0.0,0.4,0.2,0.12,0.0,0.2,0.2,0.2,1.0,0.2,0.3,0.12,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.1
28,Corinthians,55.67,51.0,49.48,50.51,15.04,4.0,12.4,14.7,14.35,14.0,12.4,14.1,6.23,9.0,6.8,6.5,12.81,14.0,13.2,13.1,2.46,3.0,3.2,2.7,3.73,7.0,4.8,4.3,0.42,0.0,0.4,0.5,1.15,3.0,1.6,1.2,2.85,0.0,2.0,2.6,1.12,3.0,1.4,1.4,0.04,0.0,0.0,0.0,1.08,2.0,1.2,0.8,1.62,0.0,0.0,0.7,0.85,2.0,1.4,0.9,0.35,0.0,0.4,0.2,0.12,0.0,0.2,0.2,0.23,1.0,0.4,0.3,0.15,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.1
29,Corinthians,55.52,51.4,45.86,52.03,15.11,17.0,12.0,15.3,14.3,13.0,12.2,13.7,6.26,7.0,6.6,6.8,12.89,15.0,13.0,13.9,2.44,2.0,3.4,2.6,3.7,3.0,4.6,4.4,0.41,0.0,0.2,0.4,1.15,1.0,1.4,1.1,2.89,4.0,2.6,2.9,1.11,1.0,1.4,1.3,0.04,0.0,0.0,0.0,1.04,0.0,1.2,0.8,1.56,0.0,0.0,0.7,0.85,1.0,1.2,0.9,0.33,0.0,0.2,0.2,0.11,0.0,0.0,0.2,0.22,0.0,0.4,0.2,0.15,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.1
30,Corinthians,54.93,39.05,48.85,52.22,15.14,16.0,13.0,15.2,14.18,11.0,12.8,13.5,6.39,10.0,7.6,7.4,12.89,13.0,12.0,13.5,2.39,1.0,2.8,2.5,3.68,3.0,4.8,4.3,0.39,0.0,0.2,0.4,1.11,0.0,1.4,1.1,2.93,4.0,2.6,2.7,1.11,1.0,1.4,1.1,0.04,0.0,0.0,0.0,1.07,2.0,1.4,1.0,1.5,0.0,0.0,0.7,0.82,0.0,1.2,0.9,0.32,0.0,0.2,0.2,0.11,0.0,0.0,0.2,0.21,0.0,0.4,0.2,0.14,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.1
31,Corinthians,54.17,32.84,44.76,50.19,14.9,8.0,12.4,14.2,14.17,14.0,12.8,13.2,6.28,3.0,6.8,7.0,13.14,20.0,13.4,14.2,2.38,2.0,2.2,2.4,3.62,2.0,4.2,3.9,0.38,0.0,0.2,0.3,1.1,1.0,1.2,1.1,3.07,7.0,3.8,3.3,1.1,1.0,1.4,1.1,0.07,1.0,0.2,0.1,1.07,1.0,1.2,1.0,1.45,0.0,0.0,0.7,0.79,0.0,0.8,0.8,0.31,0.0,0.0,0.2,0.14,1.0,0.2,0.3,0.21,0.0,0.4,0.2,0.14,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.1
32,Corinthians,53.78,42.55,43.37,48.58,15.23,25.0,14.0,14.7,14.07,11.0,12.6,12.8,6.4,10.0,7.8,7.1,12.83,4.0,13.2,13.1,2.37,2.0,2.0,2.5,3.6,3.0,3.6,3.9,0.37,0.0,0.0,0.2,1.07,0.0,1.0,1.0,3.03,2.0,3.4,2.9,1.1,1.0,1.4,1.1,0.07,0.0,0.2,0.1,1.13,3.0,1.6,1.3,1.4,0.0,0.0,0.7,0.77,0.0,0.6,0.8,0.3,0.0,0.0,0.2,0.13,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.13,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.1
33,Corinthians,55.06,93.62,51.89,50.69,15.39,20.0,17.2,14.8,14.06,14.0,12.6,12.5,6.58,12.0,8.4,7.6,12.77,11.0,12.6,12.9,2.32,1.0,1.6,2.4,3.65,5.0,3.2,4.0,0.35,0.0,0.0,0.2,1.06,1.0,0.6,1.1,3.0,2.0,3.8,2.9,1.06,0.0,0.8,1.1,0.06,0.0,0.2,0.1,1.1,0.0,1.2,1.2,1.55,6.0,1.2,0.6,0.77,1.0,0.4,0.9,0.32,1.0,0.2,0.3,0.13,0.0,0.2,0.2,0.19,0.0,0.0,0.2,0.13,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.1
1,Coritiba,103.22,103.22,103.22,103.22,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,16.0,16.0,16.0,16.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Coritiba,103.22,103.22,103.22,103.22,18.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,3.0,3.0,3.0,3.0,16.0,16.0,16.0,16.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
