rodada,equipe,equipe_proAvgpontuacao,equipe_proLastpontuacao,equipe_proAvgMov5pontuacao,equipe_proAvgMov10pontuacao,equipe_proAvgDS,equipe_proLastDS,equipe_proAvgMov5DS,equipe_proAvgMov10DS,equipe_proAvgFC,equipe_proLastFC,equipe_proAvgMov5FC,equipe_proAvgMov10FC,equipe_proAvgFF,equipe_proLastFF,equipe_proAvgMov5FF,equipe_proAvgMov10FF,equipe_proAvgFS,equipe_proLastFS,equipe_proAvgMov5FS,equipe_proAvgMov10FS,equipe_proAvgCA,equipe_proLastCA,equipe_proAvgMov5CA,equipe_proAvgMov10CA,equipe_proAvgFD,equipe_proLastFD,equipe_proAvgMov5FD,equipe_proAvgMov10FD,equipe_proAvgFT,equipe_proLastFT,equipe_proAvgMov5FT,equipe_proAvgMov10FT,equipe_proAvgG,equipe_proLastG,equipe_proAvgMov5G,equipe_proAvgMov10G,equipe_proAvgDE,equipe_proLastDE,equipe_proAvgMov5DE,equipe_proAvgMov10DE,equipe_proAvgGS,equipe_proLastGS,equipe_proAvgMov5GS,equipe_proAvgMov10GS,equipe_proAvgGC,equipe_proLastGC,equipe_proAvgMov5GC,equipe_proAvgMov10GC,equipe_proAvgI,equipe_proLastI,equipe_proAvgMov5I,equipe_proAvgMov10I,equipe_proAvgSG,equipe_proLastSG,equipe_proAvgMov5SG,equipe_proAvgMov10SG,equipe_proAvgA,equipe_proLastA,equipe_proAvgMov5A,equipe_proAvgMov10A,equipe_proAvgV,equipe_proLastV,equipe_proAvgMov5V,equipe_proAvgMov10V,equipe_proAvgPS,equipe_proLastPS,equipe_proAvgMov5PS,equipe_proAvgMov10PS,equipe_proAvgPC,equipe_proLastPC,equipe_proAvgMov5PC,equipe_proAvgMov10PC,equipe_proAvgCV,equipe_proLastCV,equipe_proAvgMov5CV,equipe_proAvgMov10CV,equipe_proAvgDP,equipe_proLastDP,equipe_proAvgMov5DP,equipe_proAvgMov10DP,equipe_proAvgPP,equipe_proLastPP,equipe_proAvgMov5PP,equipe_proAvgMov10PP
11,América-MG,42.52,43.85,43.36,42.52,11.2,8.0,10.2,11.2,15.2,19.0,13.8,15.2,5.0,3.0,4.0,5.0,11.7,8.0,10.4,11.7,2.7,2.0,2.4,2.7,3.4,10.0,3.4,3.4,0.9,1.0,0.8,0.9,1.1,2.0,1.2,1.1,3.9,2.0,3.2,3.9,2.2,2.0,1.8,2.2,0.1,0.0,0.0,0.1,2.2,1.0,2.0,2.2,0.5,0.0,1.0,0.5,0.7,1.0,0.8,0.7,0.2,0.0,0.4,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,1.0,0.2,0.1
12,América-MG,42.64,43.85,46.3,43.66,11.91,19.0,12.6,12.0,14.82,11.0,14.0,14.2,4.73,2.0,2.8,4.2,11.55,10.0,9.2,12.0,2.55,1.0,2.2,2.6,3.18,1.0,3.2,3.3,0.91,1.0,0.6,0.9,1.09,1.0,1.4,1.2,4.18,7.0,3.6,4.2,2.27,3.0,1.6,2.2,0.18,1.0,0.2,0.2,2.09,1.0,1.2,2.2,0.45,0.0,1.0,0.5,0.73,1.0,1.0,0.8,0.18,0.0,0.4,0.2,0.09,0.0,0.0,0.1,0.09,0.0,0.2,0.1,0.18,1.0,0.2,0.2,0.09,0.0,0.0,0.0,0.09,0.0,0.2,0.1
13,América-MG,42.05,35.58,43.01,44.18,12.33,17.0,13.2,12.7,15.67,25.0,16.2,15.5,4.67,4.0,2.8,3.9,11.08,6.0,9.2,11.2,2.42,1.0,1.6,2.4,3.17,3.0,3.8,3.0,0.83,0.0,0.4,0.8,1.08,1.0,1.2,1.3,3.83,0.0,2.8,3.9,2.25,2.0,1.8,2.1,0.17,0.0,0.2,0.2,1.92,0.0,1.2,1.9,0.42,0.0,1.0,0.5,0.75,1.0,0.8,0.9,0.17,0.0,0.2,0.2,0.08,0.0,0.0,0.1,0.08,0.0,0.2,0.1,0.17,0.0,0.2,0.2,0.08,0.0,0.0,0.0,0.08,0.0,0.2,0.1
14,América-MG,43.89,66.0,53.74,44.56,12.69,17.0,15.0,13.0,15.92,19.0,17.8,15.9,5.15,11.0,4.6,4.4,11.38,15.0,10.4,10.9,2.38,2.0,1.4,2.2,3.23,4.0,4.4,2.9,0.77,0.0,0.4,0.7,1.15,2.0,1.6,1.3,3.77,3.0,2.8,3.9,2.23,2.0,1.8,2.0,0.15,0.0,0.2,0.2,2.0,3.0,1.2,2.1,0.38,0.0,1.0,0.5,0.85,2.0,1.2,0.9,0.15,0.0,0.2,0.2,0.08,0.0,0.0,0.1,0.08,0.0,0.2,0.1,0.15,0.0,0.2,0.2,0.08,0.0,0.0,0.0,0.08,0.0,0.2,0.1
16,América-MG,43.59,39.6,45.78,45.15,12.86,15.0,15.2,13.5,16.14,19.0,18.6,16.0,5.29,7.0,5.4,4.7,11.71,16.0,11.0,11.3,2.43,3.0,1.8,2.2,3.14,2.0,4.0,2.8,0.79,1.0,0.6,0.6,1.14,1.0,1.4,1.3,3.79,4.0,3.2,3.9,2.29,3.0,2.4,2.1,0.14,0.0,0.2,0.1,1.86,0.0,1.0,1.6,0.36,0.0,0.0,0.5,0.79,0.0,1.0,0.8,0.14,0.0,0.0,0.2,0.07,0.0,0.0,0.1,0.14,1.0,0.2,0.2,0.14,0.0,0.2,0.1,0.07,0.0,0.0,0.0,0.07,0.0,0.2,0.1
17,América-MG,43.52,42.65,45.54,44.45,13.0,15.0,16.6,13.4,15.93,13.0,17.4,15.6,5.33,6.0,6.0,5.0,11.47,8.0,11.0,10.7,2.53,4.0,2.2,2.3,3.13,3.0,2.6,3.0,0.8,1.0,0.6,0.7,1.13,1.0,1.2,1.2,4.0,7.0,4.2,3.7,2.2,1.0,2.2,2.0,0.13,0.0,0.2,0.1,2.0,4.0,1.6,1.8,0.33,0.0,0.0,0.5,0.73,0.0,0.8,0.8,0.13,0.0,0.0,0.2,0.07,0.0,0.0,0.0,0.13,0.0,0.2,0.2,0.13,0.0,0.2,0.1,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.1
18,América-MG,42.98,34.91,43.75,45.03,13.0,13.0,15.4,14.0,15.75,13.0,17.8,15.9,5.25,4.0,6.4,4.6,11.38,10.0,11.0,10.1,2.5,2.0,2.4,2.3,3.31,6.0,3.6,3.4,0.75,0.0,0.4,0.5,1.12,1.0,1.2,1.3,3.94,3.0,3.4,3.5,2.31,4.0,2.4,2.0,0.12,0.0,0.0,0.1,1.94,1.0,1.6,1.4,0.31,0.0,0.0,0.5,0.69,0.0,0.6,0.8,0.12,0.0,0.0,0.2,0.06,0.0,0.0,0.0,0.12,0.0,0.2,0.2,0.12,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.1
19,América-MG,42.94,42.22,45.08,44.04,13.29,18.0,15.6,14.4,15.94,19.0,16.6,16.4,5.0,1.0,5.8,4.3,11.82,19.0,13.6,11.4,2.53,3.0,2.8,2.2,3.35,4.0,3.8,3.8,0.71,0.0,0.4,0.4,1.12,1.0,1.2,1.2,3.94,4.0,4.2,3.5,2.35,3.0,2.6,2.2,0.12,0.0,0.0,0.1,2.0,3.0,2.2,1.7,0.29,0.0,0.0,0.5,0.71,1.0,0.6,0.7,0.12,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.12,0.0,0.2,0.2,0.18,1.0,0.2,0.2,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.1
20,América-MG,42.38,32.95,38.47,46.1,13.61,19.0,16.0,15.5,15.72,12.0,15.2,16.5,5.06,6.0,4.8,4.7,11.83,12.0,13.0,11.7,2.39,0.0,2.4,1.9,3.28,2.0,3.4,3.9,0.67,0.0,0.4,0.4,1.06,0.0,0.8,1.2,3.83,2.0,4.0,3.4,2.28,1.0,2.4,2.1,0.11,0.0,0.0,0.1,2.0,2.0,2.0,1.6,0.28,0.0,0.0,0.5,0.67,0.0,0.2,0.7,0.11,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.11,0.0,0.2,0.2,0.22,1.0,0.4,0.3,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.1
21,América-MG,42.22,39.27,38.4,42.09,13.63,14.0,15.8,15.5,15.47,11.0,13.6,16.1,5.16,7.0,4.8,5.1,11.58,7.0,11.2,11.1,2.32,1.0,2.0,1.9,3.21,2.0,3.4,3.7,0.63,0.0,0.2,0.4,1.05,1.0,0.8,1.1,3.74,2.0,3.6,3.4,2.32,3.0,2.4,2.4,0.11,0.0,0.0,0.1,1.89,0.0,2.0,1.5,0.26,0.0,0.0,0.0,0.68,1.0,0.4,0.7,0.11,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.21,0.0,0.4,0.3,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.1
