rodada,equipe,equipe_proAvgpontuacao,equipe_proLastpontuacao,equipe_proAvgMov5pontuacao,equipe_proAvgMov10pontuacao,equipe_proAvgDS,equipe_proLastDS,equipe_proAvgMov5DS,equipe_proAvgMov10DS,equipe_proAvgFC,equipe_proLastFC,equipe_proAvgMov5FC,equipe_proAvgMov10FC,equipe_proAvgFF,equipe_proLastFF,equipe_proAvgMov5FF,equipe_proAvgMov10FF,equipe_proAvgFS,equipe_proLastFS,equipe_proAvgMov5FS,equipe_proAvgMov10FS,equipe_proAvgCA,equipe_proLastCA,equipe_proAvgMov5CA,equipe_proAvgMov10CA,equipe_proAvgFD,equipe_proLastFD,equipe_proAvgMov5FD,equipe_proAvgMov10FD,equipe_proAvgFT,equipe_proLastFT,equipe_proAvgMov5FT,equipe_proAvgMov10FT,equipe_proAvgG,equipe_proLastG,equipe_proAvgMov5G,equipe_proAvgMov10G,equipe_proAvgDE,equipe_proLastDE,equipe_proAvgMov5DE,equipe_proAvgMov10DE,equipe_proAvgGS,equipe_proLastGS,equipe_proAvgMov5GS,equipe_proAvgMov10GS,equipe_proAvgGC,equipe_proLastGC,equipe_proAvgMov5GC,equipe_proAvgMov10GC,equipe_proAvgI,equipe_proLastI,equipe_proAvgMov5I,equipe_proAvgMov10I,equipe_proAvgSG,equipe_proLastSG,equipe_proAvgMov5SG,equipe_proAvgMov10SG,equipe_proAvgA,equipe_proLastA,equipe_proAvgMov5A,equipe_proAvgMov10A,equipe_proAvgV,equipe_proLastV,equipe_proAvgMov5V,equipe_proAvgMov10V,equipe_proAvgPS,equipe_proLastPS,equipe_proAvgMov5PS,equipe_proAvgMov10PS,equipe_proAvgPC,equipe_proLastPC,equipe_proAvgMov5PC,equipe_proAvgMov10PC,equipe_proAvgCV,equipe_proLastCV,equipe_proAvgMov5CV,equipe_proAvgMov10CV,equipe_proAvgDP,equipe_proLastDP,equipe_proAvgMov5DP,equipe_proAvgMov10DP,equipe_proAvgPP,equipe_proLastPP,equipe_proAvgMov5PP,equipe_proAvgMov10PP
29,Flamengo,62.41,73.87,66.49,57.84,14.07,12.0,12.6,13.1,12.68,10.0,11.6,11.1,4.89,3.0,4.2,4.9,13.68,15.0,13.0,13.9,2.11,1.0,2.0,2.2,3.07,3.0,3.0,3.3,0.43,1.0,0.8,0.6,1.43,1.0,1.0,1.0,4.18,7.0,4.0,3.4,1.11,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.68,1.0,1.0,1.6,2.25,5.0,4.4,2.7,0.89,0.0,0.2,0.4,0.5,1.0,0.6,0.5,0.32,0.0,0.4,0.4,0.21,0.0,0.2,0.3,0.07,0.0,0.0,0.1,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0
31,Flamengo,61.69,41.67,64.92,57.51,14.1,15.0,13.2,12.8,12.79,16.0,12.0,11.4,4.79,2.0,4.0,4.2,13.62,12.0,12.4,13.7,2.17,4.0,2.2,2.4,3.03,2.0,3.0,3.2,0.41,0.0,0.8,0.6,1.45,2.0,1.4,1.1,4.07,1.0,4.0,3.5,1.17,3.0,0.8,1.0,0.0,0.0,0.0,0.0,1.62,0.0,0.8,1.3,2.17,0.0,3.4,2.7,0.9,1.0,0.4,0.5,0.48,0.0,0.6,0.5,0.31,0.0,0.4,0.3,0.21,0.0,0.2,0.3,0.07,0.0,0.0,0.1,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0
32,Flamengo,60.57,28.04,54.4,54.05,14.0,11.0,13.0,13.0,12.8,13.0,12.4,11.9,4.67,1.0,3.4,3.4,13.7,16.0,13.2,14.4,2.17,2.0,2.4,2.3,3.03,3.0,2.8,3.3,0.43,1.0,0.6,0.6,1.43,1.0,1.4,0.9,4.03,3.0,3.8,3.6,1.2,2.0,1.2,1.0,0.0,0.0,0.0,0.0,1.57,0.0,0.6,1.3,2.1,0.0,2.2,2.7,0.87,0.0,0.4,0.3,0.47,0.0,0.4,0.4,0.3,0.0,0.2,0.2,0.2,0.0,0.2,0.2,0.13,2.0,0.4,0.3,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0
33,Flamengo,61.41,86.53,61.8,56.5,13.87,10.0,11.6,12.7,12.74,11.0,12.2,11.7,4.55,1.0,2.6,3.2,13.55,9.0,14.0,13.3,2.19,3.0,2.4,2.4,3.0,2.0,2.0,3.0,0.42,0.0,0.4,0.5,1.45,2.0,1.6,1.1,4.03,4.0,3.8,3.9,1.16,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.52,0.0,0.4,1.1,2.26,7.0,3.6,2.9,0.9,2.0,0.6,0.5,0.48,1.0,0.6,0.5,0.29,0.0,0.2,0.2,0.19,0.0,0.0,0.2,0.13,0.0,0.4,0.3,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1,Fluminense,113.69,113.69,113.69,113.69,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,23.0,23.0,23.0,23.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2,Fluminense,113.69,113.69,113.69,113.69,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,23.0,23.0,23.0,23.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,Fluminense,99.12,84.56,99.12,99.12,12.0,12.0,12.0,12.0,11.0,13.0,11.0,11.0,4.0,6.0,4.0,4.0,21.5,20.0,21.5,21.5,2.5,3.0,2.5,2.5,3.5,3.0,3.5,3.5,1.0,1.0,1.0,1.0,2.5,2.0,2.5,2.5,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,6.0,5.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5
4,Fluminense,82.88,50.4,82.88,82.88,11.0,9.0,11.0,11.0,12.33,15.0,12.33,12.33,4.67,6.0,4.67,4.67,17.0,8.0,17.0,17.0,2.67,3.0,2.67,2.67,2.67,1.0,2.67,2.67,1.0,1.0,1.0,1.0,2.33,2.0,2.33,2.33,5.67,13.0,5.67,5.67,1.33,4.0,1.33,1.33,0.0,0.0,0.0,0.0,2.33,1.0,2.33,2.33,4.0,0.0,4.0,4.0,1.67,1.0,1.67,1.67,0.67,0.0,0.67,0.67,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33
5,Fluminense,74.44,49.09,74.44,74.44,11.75,14.0,11.75,11.75,12.25,12.0,12.25,12.25,6.0,10.0,6.0,6.0,17.0,17.0,17.0,17.0,2.75,3.0,2.75,2.75,3.75,7.0,3.75,3.75,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.25,0.0,4.25,4.25,1.25,1.0,1.25,1.25,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,3.0,3.0,1.25,0.0,1.25,1.25,0.5,0.0,0.5,0.5,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25
6,Fluminense,76.9,86.75,76.9,76.9,11.8,12.0,11.8,11.8,11.6,9.0,11.6,11.6,5.4,3.0,5.4,5.4,16.4,14.0,16.4,16.4,3.2,5.0,3.2,3.2,3.8,4.0,3.8,3.8,0.8,0.0,0.8,0.8,2.0,2.0,2.0,2.0,4.6,6.0,4.6,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.2,3.0,2.2,2.2,3.8,7.0,3.8,3.8,1.2,1.0,1.2,1.2,0.6,1.0,0.6,0.6,0.2,0.0,0.2,0.2,0.2,1.0,0.2,0.2,0.2,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
7,Fluminense,78.3,85.33,71.23,78.3,12.33,15.0,12.4,12.33,12.0,14.0,12.6,12.0,5.33,5.0,6.0,5.33,15.17,9.0,13.6,15.17,3.17,3.0,3.4,3.17,3.17,0.0,3.0,3.17,0.67,0.0,0.6,0.67,2.0,2.0,1.8,2.0,4.17,2.0,4.6,4.17,0.83,0.0,1.0,0.83,0.0,0.0,0.0,0.0,1.83,0.0,1.6,1.83,4.17,6.0,3.6,4.17,1.33,2.0,1.0,1.33,0.67,1.0,0.6,0.67,0.17,0.0,0.0,0.17,0.17,0.0,0.2,0.17,0.17,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.17
8,Fluminense,72.0,34.15,61.14,72.0,12.57,14.0,12.8,12.57,12.29,14.0,12.8,12.29,4.71,1.0,5.0,4.71,16.43,24.0,14.4,16.43,3.0,2.0,3.2,3.0,2.71,0.0,2.4,2.71,0.71,1.0,0.6,0.71,1.71,0.0,1.4,1.71,4.43,6.0,5.4,4.43,0.86,1.0,1.2,0.86,0.0,0.0,0.0,0.0,1.71,1.0,1.2,1.71,3.57,0.0,2.6,3.57,1.14,0.0,0.8,1.14,0.57,0.0,0.4,0.57,0.14,0.0,0.0,0.14,0.14,0.0,0.2,0.14,0.14,0.0,0.2,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.14
9,Fluminense,68.12,41.02,59.27,68.12,12.75,14.0,13.8,12.75,11.5,6.0,11.0,11.5,5.38,10.0,5.8,5.38,16.5,17.0,16.2,16.5,2.88,2.0,3.0,2.88,3.25,7.0,3.6,3.25,0.62,0.0,0.4,0.62,1.5,0.0,1.0,1.5,4.12,2.0,3.2,4.12,1.0,2.0,0.8,1.0,0.0,0.0,0.0,0.0,1.88,3.0,1.6,1.88,3.12,0.0,2.6,3.12,1.0,0.0,0.6,1.0,0.5,0.0,0.4,0.5,0.12,0.0,0.0,0.12,0.12,0.0,0.2,0.12,0.12,0.0,0.2,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12
10,Fluminense,66.27,51.4,59.73,66.27,12.78,13.0,13.6,12.78,11.56,12.0,11.0,11.56,5.33,5.0,4.8,5.33,16.0,12.0,15.2,16.0,3.11,5.0,3.4,3.11,3.11,2.0,2.6,3.11,0.67,1.0,0.4,0.67,1.56,2.0,1.2,1.56,4.11,4.0,4.0,4.11,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1.89,2.0,1.8,1.89,2.78,0.0,2.6,2.78,1.0,1.0,0.8,1.0,0.56,1.0,0.6,0.56,0.11,0.0,0.0,0.11,0.11,0.0,0.2,0.11,0.11,0.0,0.2,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11
11,Fluminense,65.57,59.35,54.25,65.57,13.1,16.0,14.4,13.1,12.6,22.0,13.6,12.6,5.2,4.0,5.0,5.2,15.9,15.0,15.4,15.9,3.1,3.0,3.0,3.1,2.9,1.0,2.0,2.9,0.7,1.0,0.6,0.7,1.6,2.0,1.2,1.6,4.4,7.0,4.2,4.4,1.1,2.0,1.2,1.1,0.0,0.0,0.0,0.0,1.8,1.0,1.4,1.8,2.5,0.0,1.2,2.5,1.1,2.0,1.0,1.1,0.5,0.0,0.4,0.5,0.1,0.0,0.0,0.1,0.2,1.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1
12,Fluminense,62.52,31.96,43.58,57.4,12.82,10.0,13.4,12.9,13.27,20.0,14.8,13.7,5.09,4.0,4.8,5.4,16.09,18.0,17.2,15.4,3.0,2.0,2.8,3.1,2.91,3.0,2.6,2.8,0.64,0.0,0.6,0.6,1.55,1.0,1.0,1.4,4.55,6.0,5.0,4.8,1.09,1.0,1.4,1.2,0.09,1.0,0.2,0.1,2.09,5.0,2.4,2.0,2.27,0.0,0.0,1.8,1.0,0.0,0.6,0.8,0.45,0.0,0.2,0.4,0.09,0.0,0.0,0.0,0.18,0.0,0.2,0.2,0.09,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
13,Fluminense,62.22,58.93,48.53,54.84,12.83,13.0,13.2,13.0,12.92,9.0,13.8,13.3,5.17,6.0,5.8,5.4,15.58,10.0,14.4,14.4,2.83,1.0,2.6,2.9,3.33,8.0,4.2,3.3,0.67,1.0,0.6,0.6,1.58,2.0,1.4,1.4,4.33,2.0,4.2,4.8,1.08,1.0,1.4,1.3,0.08,0.0,0.2,0.1,2.08,2.0,2.6,1.9,2.08,0.0,0.0,1.3,1.0,1.0,0.8,0.8,0.5,1.0,0.4,0.4,0.08,0.0,0.0,0.0,0.17,0.0,0.2,0.2,0.17,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
14,Fluminense,59.45,26.18,45.56,52.42,13.0,15.0,13.4,13.6,12.46,7.0,14.0,12.5,4.85,1.0,4.0,4.9,15.62,16.0,14.2,15.2,2.77,2.0,2.6,2.8,3.23,2.0,3.2,3.4,0.62,0.0,0.6,0.5,1.46,0.0,1.4,1.2,4.23,3.0,4.4,3.8,1.08,1.0,1.2,1.0,0.08,0.0,0.2,0.1,2.0,1.0,2.2,1.9,1.92,0.0,0.0,1.3,0.92,0.0,0.8,0.7,0.46,0.0,0.4,0.4,0.08,0.0,0.0,0.0,0.15,0.0,0.2,0.2,0.23,1.0,0.4,0.3,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
15,Fluminense,61.36,86.2,52.52,56.13,13.29,17.0,14.2,13.9,12.86,18.0,15.2,13.1,4.64,2.0,3.4,4.1,15.64,16.0,15.0,15.1,2.71,2.0,2.0,2.7,3.29,4.0,3.6,3.1,0.57,0.0,0.4,0.4,1.5,2.0,1.4,1.3,3.93,0.0,3.6,3.8,1.0,0.0,1.0,0.9,0.07,0.0,0.2,0.1,2.07,3.0,2.4,2.1,2.14,5.0,1.0,1.8,1.0,2.0,1.0,0.9,0.5,1.0,0.4,0.5,0.07,0.0,0.0,0.0,0.14,0.0,0.2,0.2,0.21,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
16,Fluminense,60.66,50.96,50.85,52.55,12.93,8.0,12.6,13.5,13.67,25.0,15.8,14.7,4.6,4.0,3.4,4.2,15.93,20.0,16.0,15.7,2.93,6.0,2.6,2.8,3.6,8.0,5.0,3.5,0.53,0.0,0.2,0.4,1.4,0.0,1.0,1.1,3.87,3.0,2.8,3.5,0.93,0.0,0.6,0.9,0.07,0.0,0.2,0.1,2.0,1.0,2.4,1.9,2.33,5.0,2.0,1.6,0.93,0.0,0.6,0.8,0.47,0.0,0.4,0.4,0.07,0.0,0.0,0.0,0.13,0.0,0.0,0.1,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
17,Fluminense,59.29,38.73,52.2,47.89,13.12,16.0,13.8,13.6,13.19,6.0,13.0,13.9,4.81,8.0,4.2,4.5,15.94,16.0,15.6,16.4,2.81,1.0,2.4,2.6,3.62,4.0,5.2,3.9,0.5,0.0,0.2,0.4,1.31,0.0,0.8,0.9,3.81,3.0,2.2,3.6,1.0,2.0,0.8,1.1,0.06,0.0,0.0,0.1,1.94,1.0,1.6,2.0,2.19,0.0,2.0,1.0,0.88,0.0,0.6,0.6,0.44,0.0,0.4,0.3,0.06,0.0,0.0,0.0,0.19,1.0,0.2,0.2,0.19,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
18,Fluminense,60.14,73.76,55.17,51.85,13.24,15.0,14.2,13.7,13.47,18.0,14.8,14.3,4.76,4.0,3.8,4.8,16.0,17.0,17.0,15.7,3.0,6.0,3.4,3.0,3.82,7.0,5.0,4.6,0.47,0.0,0.0,0.3,1.29,1.0,0.6,1.0,3.59,0.0,1.8,3.0,0.94,0.0,0.6,1.0,0.06,0.0,0.0,0.1,1.82,0.0,1.2,1.9,2.41,6.0,3.2,1.6,0.88,1.0,0.6,0.7,0.47,1.0,0.4,0.4,0.12,1.0,0.2,0.1,0.18,0.0,0.2,0.2,0.18,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.12,1.0,0.2,0.1
19,Fluminense,59.13,41.91,58.31,51.94,13.11,11.0,13.4,13.4,13.72,18.0,17.0,15.5,4.67,3.0,4.2,4.1,16.22,20.0,17.8,16.0,3.06,4.0,3.8,3.2,3.78,3.0,5.2,4.2,0.44,0.0,0.0,0.3,1.33,2.0,1.0,1.2,3.67,5.0,2.2,3.3,0.94,1.0,0.6,0.9,0.06,0.0,0.0,0.1,1.89,3.0,1.6,1.9,2.28,0.0,3.2,1.6,0.83,0.0,0.6,0.7,0.5,1.0,0.6,0.5,0.17,1.0,0.4,0.2,0.17,0.0,0.2,0.2,0.22,1.0,0.2,0.3,0.0,0.0,0.0,0.0,0.11,0.0,0.2,0.1
20,Fluminense,58.29,43.2,49.71,51.12,12.95,10.0,12.0,13.1,13.37,7.0,14.8,15.0,4.89,9.0,5.6,4.5,15.95,11.0,16.8,15.9,3.11,4.0,4.2,3.1,3.89,6.0,5.6,4.6,0.42,0.0,0.0,0.2,1.32,1.0,0.8,1.1,3.63,3.0,2.8,3.2,1.0,2.0,1.0,1.0,0.05,0.0,0.0,0.1,1.89,2.0,1.4,1.9,2.16,0.0,2.2,1.6,0.84,1.0,0.4,0.7,0.47,0.0,0.4,0.4,0.16,0.0,0.4,0.2,0.16,0.0,0.2,0.2,0.21,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.11,0.0,0.2,0.1
21,Fluminense,58.68,66.02,52.72,51.78,13.05,15.0,13.4,13.0,13.05,7.0,11.2,13.5,5.05,8.0,6.4,4.9,15.65,10.0,14.8,15.4,3.0,1.0,3.2,2.9,3.85,3.0,4.6,4.8,0.4,0.0,0.0,0.1,1.4,3.0,1.4,1.2,3.55,2.0,2.6,2.7,1.0,1.0,1.2,0.9,0.05,0.0,0.0,0.1,1.95,3.0,1.8,2.1,2.05,0.0,1.2,1.6,0.85,1.0,0.6,0.6,0.5,1.0,0.6,0.5,0.15,0.0,0.4,0.2,0.15,0.0,0.2,0.1,0.2,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1
22,Fluminense,58.31,50.95,55.17,53.68,12.81,8.0,11.8,12.8,13.14,15.0,13.0,13.0,5.1,6.0,6.0,5.1,15.29,8.0,13.2,14.4,3.0,3.0,3.6,3.0,3.95,6.0,5.0,5.1,0.43,1.0,0.2,0.2,1.43,2.0,1.8,1.3,3.48,2.0,2.4,2.3,1.05,2.0,1.2,1.0,0.05,0.0,0.0,0.0,2.05,4.0,2.4,2.0,1.95,0.0,1.2,1.6,0.9,2.0,1.0,0.8,0.48,0.0,0.6,0.5,0.14,0.0,0.4,0.2,0.14,0.0,0.0,0.1,0.19,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1
23,Fluminense,58.62,65.04,53.42,54.3,12.68,10.0,10.8,12.5,13.14,13.0,12.0,13.4,5.05,4.0,6.0,4.9,15.32,16.0,13.0,15.0,3.05,4.0,3.2,3.3,3.95,4.0,4.4,4.7,0.41,0.0,0.2,0.1,1.41,1.0,1.8,1.2,3.59,6.0,3.6,2.7,1.0,0.0,1.2,0.9,0.05,0.0,0.0,0.0,2.14,4.0,3.2,2.2,2.09,5.0,1.0,2.1,0.86,0.0,0.8,0.7,0.5,1.0,0.6,0.5,0.14,0.0,0.2,0.2,0.14,0.0,0.0,0.1,0.18,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.1
24,Fluminense,58.58,57.82,56.61,57.46,12.61,11.0,10.8,12.1,12.87,7.0,9.8,13.4,5.09,6.0,6.6,5.4,15.17,12.0,11.4,14.6,2.96,1.0,2.6,3.2,4.04,6.0,5.0,5.1,0.43,1.0,0.4,0.2,1.43,2.0,1.8,1.4,3.43,0.0,2.6,2.4,1.13,4.0,1.8,1.2,0.04,0.0,0.0,0.0,2.09,1.0,2.8,2.2,2.0,0.0,1.0,2.1,0.91,2.0,1.2,0.9,0.48,0.0,0.4,0.5,0.13,0.0,0.0,0.2,0.13,0.0,0.0,0.1,0.17,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.1
25,Fluminense,59.0,68.64,61.69,55.7,12.33,6.0,10.0,11.0,12.58,6.0,9.6,12.2,5.12,6.0,6.0,5.8,15.08,13.0,11.8,14.3,3.08,6.0,3.0,3.6,4.0,3.0,4.4,5.0,0.46,1.0,0.6,0.3,1.42,1.0,1.8,1.3,3.38,2.0,2.4,2.6,1.08,0.0,1.4,1.2,0.04,0.0,0.0,0.0,2.12,3.0,3.0,2.2,2.21,7.0,2.4,2.3,0.88,0.0,1.0,0.7,0.5,1.0,0.6,0.5,0.12,0.0,0.0,0.2,0.12,0.0,0.0,0.1,0.17,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.1
26,Fluminense,57.14,12.55,51.0,51.86,12.12,7.0,8.4,10.9,12.56,12.0,10.6,10.9,5.0,2.0,4.8,5.6,15.12,16.0,13.0,13.9,3.04,2.0,3.2,3.2,3.92,2.0,4.2,4.4,0.44,0.0,0.6,0.3,1.36,0.0,1.2,1.3,3.36,3.0,2.6,2.6,1.16,3.0,1.8,1.5,0.04,0.0,0.0,0.0,2.16,3.0,3.0,2.4,2.12,0.0,2.4,1.8,0.84,0.0,0.8,0.7,0.48,0.0,0.4,0.5,0.12,0.0,0.0,0.2,0.12,0.0,0.0,0.1,0.2,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.1
27,Fluminense,56.26,34.15,47.64,51.4,12.12,12.0,9.2,10.5,12.65,15.0,10.6,11.8,5.15,9.0,5.4,5.7,15.04,13.0,14.0,13.6,3.0,2.0,3.0,3.3,3.96,5.0,4.0,4.5,0.46,1.0,0.6,0.4,1.31,0.0,0.8,1.3,3.35,3.0,2.8,2.6,1.19,2.0,1.8,1.5,0.04,0.0,0.0,0.0,2.19,3.0,2.8,2.6,2.04,0.0,2.4,1.8,0.81,0.0,0.4,0.7,0.46,0.0,0.4,0.5,0.12,0.0,0.0,0.2,0.12,0.0,0.0,0.0,0.19,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.1
28,Fluminense,56.06,51.0,44.83,49.13,11.81,4.0,8.0,9.4,12.7,14.0,10.8,11.4,5.3,9.0,6.4,6.2,15.0,14.0,13.6,13.3,3.0,3.0,2.8,3.0,4.07,7.0,4.6,4.5,0.44,0.0,0.6,0.4,1.37,3.0,1.2,1.5,3.22,0.0,1.6,2.6,1.26,3.0,2.4,1.8,0.04,0.0,0.0,0.0,2.19,2.0,2.4,2.8,1.96,0.0,1.4,1.2,0.85,2.0,0.8,0.8,0.44,0.0,0.2,0.4,0.11,0.0,0.0,0.1,0.15,1.0,0.2,0.1,0.22,1.0,0.4,0.3,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
29,Fluminense,55.09,28.8,39.03,47.82,11.89,14.0,8.6,9.7,12.68,12.0,11.8,10.8,5.25,4.0,6.0,6.3,15.07,17.0,14.6,13.0,2.96,2.0,3.0,2.8,4.07,4.0,4.2,4.6,0.43,0.0,0.4,0.4,1.32,0.0,0.8,1.3,3.14,1.0,1.8,2.2,1.25,1.0,1.8,1.8,0.04,0.0,0.0,0.0,2.21,3.0,2.8,2.8,1.89,0.0,1.4,1.2,0.82,0.0,0.4,0.8,0.43,0.0,0.2,0.3,0.11,0.0,0.0,0.0,0.18,1.0,0.4,0.2,0.21,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
30,Fluminense,56.47,95.04,44.31,53.0,11.9,12.0,9.8,9.9,12.72,14.0,13.4,11.5,5.38,9.0,6.6,6.3,15.28,21.0,16.2,14.0,3.0,4.0,2.6,2.8,4.03,3.0,4.2,4.3,0.41,0.0,0.2,0.4,1.45,5.0,1.6,1.7,3.07,1.0,1.6,2.0,1.31,3.0,2.4,1.9,0.03,0.0,0.0,0.0,2.24,3.0,2.8,2.9,1.83,0.0,0.0,1.2,0.93,4.0,1.2,1.1,0.45,1.0,0.2,0.4,0.14,1.0,0.2,0.1,0.17,0.0,0.4,0.2,0.21,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
33,Fluminense,55.64,31.64,48.13,49.56,11.93,13.0,11.0,9.7,12.67,11.0,13.2,11.9,5.4,6.0,7.4,6.1,15.27,15.0,16.0,14.5,2.93,1.0,2.4,2.8,4.0,3.0,4.4,4.3,0.43,1.0,0.4,0.5,1.4,0.0,1.6,1.4,3.0,1.0,1.2,1.9,1.33,2.0,2.2,2.0,0.03,0.0,0.0,0.0,2.23,2.0,2.6,2.8,1.77,0.0,0.0,1.2,0.9,0.0,1.2,1.0,0.43,0.0,0.2,0.3,0.13,0.0,0.2,0.1,0.17,0.0,0.4,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
1,Fortaleza,50.84,50.84,50.84,50.84,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Fortaleza,50.84,50.84,50.84,50.84,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
