aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,rodada
"['v', 'v', 'd', 'v', 'd']","['e', 'e', 'e', 'e', 'd']",Nilton Santos (Engenhão),,,,2023-09-02 21:00:00,,2,1,302872,4,262,5,263,1693699200,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/02-09-2023/botafogo-flamengo.ghtml?utm_source=cartolafc,22
"['v', 'e', 'd', 'd', 'v']","['d', 'd', 'v', 'v', 'v']",Arena do Grêmio,,,,2023-09-03 11:00:00,,0,2,302877,12,1371,2,284,1693749600,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/03-09-2023/gremio-cuiaba.ghtml?utm_source=cartolafc,22
"['e', 'e', 'v', 'v', 'v']","['v', 'v', 'v', 'd', 'd']",Raulino de Oliveira,,,,2023-09-03 16:00:00,,0,1,302871,10,356,7,266,1693767600,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/03-09-2023/fluminense-fortaleza.ghtml?utm_source=cartolafc,22
"['v', 'e', 'v', 'v', 'e']","['v', 'd', 'v', 'd', 'v']",Neo Química Arena,,,,2023-09-03 16:00:00,,0,0,302874,1,275,13,264,1693767600,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/03-09-2023/corinthians-palmeiras.ghtml?utm_source=cartolafc,22
"['d', 'd', 'd', 'v', 'd']","['e', 'v', 'e', 'e', 'e']",Mineirão,,,,2023-09-03 18:30:00,,0,0,302876,6,280,14,283,1693776600,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/03-09-2023/cruzeiro-bragantino.ghtml?utm_source=cartolafc,22
"['e', 'e', 'd', 'd', 'v']","['e', 'v', 'd', 'd', 'v']",Itaipava Arena Fonte Nova,,,,2023-09-03 18:30:00,,1,1,302879,15,267,16,265,1693776600,26,True,saiba como foi,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/03-09-2023/bahia-vasco.ghtml?utm_source=cartolafc,22
"['e', 'e', 'd', 'd', 'd']","['d', 'd', 'd', 'v', 'd']",Independência,,,,2023-09-03 18:30:00,,0,2,302880,17,277,20,327,1693776600,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/03-09-2023/america-mg-santos.ghtml?utm_source=cartolafc,22
"['v', 'd', 'e', 'd', 'd']","['d', 'e', 'v', 'd', 'v']",Morumbi,,,,2023-09-27 19:00:00,,1,2,302873,19,294,11,276,1695852000,26,False,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/27-09-2023/sao-paulo-coritiba.ghtml?utm_source=cartolafc,22
"['d', 'v', 'v', 'v', 'v']","['v', 'v', 'd', 'v', 'd']",Maracanã,,,,2023-08-26 18:30:00,,0,0,302841,9,285,4,262,1693085400,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/26-08-2023/flamengo-internacional.ghtml?utm_source=cartolafc,21
"['d', 'd', 'd', 'd', 'v']","['v', 'd', 'v', 'd', 'v']",Neo Química Arena,,,,2023-08-26 21:00:00,,1,1,302844,18,290,13,264,1693094400,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/26-08-2023/corinthians-goias.ghtml?utm_source=cartolafc,21
"['v', 'e', 'd', 'd', 'v']","['d', 'd', 'd', 'v', 'd']",Nabi Abi Chedid,,,,2023-08-27 11:00:00,,0,2,302845,12,1371,6,280,1693144800,26,True,saiba como foi,https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/brasileirao-serie-a/jogo/27-08-2023/bragantino-cuiaba.ghtml?utm_source=cartolafc,21
"['e', 'v', 'd', 'd', 'v']","['e', 'e', 'e', 'e', 'd']",Nilton Santos (Engenhão),,,,2023-08-27 16:00:00,,0,3,302842,16,265,5,263,1693162800,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/27-08-2023/botafogo-bahia.ghtml?utm_source=cartolafc,21
"['e', 'e', 'd', 'd', 'd']","['v', 'v', 'v', 'v', 'd']",Arena MRV,,,,2023-08-27 16:00:00,,0,2,302846,17,277,3,282,1693162800,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/27-08-2023/atletico-mg-santos.ghtml?utm_source=cartolafc,21
"['d', 'e', 'v', 'd', 'v']","['d', 'd', 'd', 'v', 'd']",Independência,,,,2023-08-27 16:00:00,,1,2,302850,11,276,20,327,1693162800,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/27-08-2023/america-mg-sao-paulo.ghtml?utm_source=cartolafc,21
"['e', 'e', 'd', 'd', 'v']","['v', 'e', 'v', 'v', 'e']",Allianz Parque,,,,2023-08-27 18:30:00,,0,1,302843,15,267,1,275,1693171800,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/27-08-2023/palmeiras-vasco.ghtml?utm_source=cartolafc,21
"['v', 'v', 'v', 'd', 'd']","['e', 'e', 'e', 'v', 'd']",Ligga Arena,,,,2023-08-27 18:30:00,,2,2,302848,7,266,8,293,1693171800,26,True,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/27-08-2023/atletico-pr-fluminense.ghtml?utm_source=cartolafc,21
"['v', 'd', 'e', 'd', 'd']","['e', 'e', 'v', 'v', 'v']",Presidente Vargas (CE),,,,2023-08-27 18:30:00,,1,3,302849,19,294,10,356,1693171800,26,True,saiba como foi,https://ge.globo.com/ce/futebol/brasileirao-serie-a/jogo/27-08-2023/fortaleza-coritiba.ghtml?utm_source=cartolafc,21
"['e', 'v', 'e', 'e', 'e']","['d', 'd', 'v', 'v', 'v']",Arena do Grêmio,,,,2023-08-27 19:00:00,,0,3,302847,14,283,2,284,1693173600,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/27-08-2023/gremio-cruzeiro.ghtml?utm_source=cartolafc,21
"['e', 'e', 'e', 'e', 'd']","['d', 'e', 'v', 'd', 'v']",Morumbi,,,,2023-08-19 16:00:00,,0,0,302813,5,263,11,276,1692471600,26,True,saiba como foi,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/19-08-2023/sao-paulo-botafogo.ghtml?utm_source=cartolafc,20
"['e', 'e', 'v', 'v', 'v']","['d', 'v', 'v', 'v', 'v']",Beira-Rio,,,,2023-08-19 16:00:00,,1,0,302817,10,356,9,285,1692471600,26,True,saiba como foi,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/19-08-2023/internacional-fortaleza.ghtml?utm_source=cartolafc,20
"['d', 'd', 'd', 'v', 'd']","['v', 'v', 'v', 'd', 'd']",Maracanã,,,,2023-08-19 18:30:00,,1,3,302811,20,327,7,266,1692480600,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/19-08-2023/fluminense-america-mg.ghtml?utm_source=cartolafc,20
"['v', 'e', 'v', 'v', 'e']","['v', 'e', 'd', 'd', 'v']",Arena Pantanal,,,,2023-08-19 18:30:00,,2,0,302820,1,275,12,1371,1692480600,26,True,saiba como foi,https://ge.globo.com/mt/futebol/brasileirao-serie-a/jogo/19-08-2023/cuiaba-palmeiras.ghtml?utm_source=cartolafc,20
"['v', 'd', 'v', 'd', 'v']","['e', 'v', 'e', 'e', 'e']",Mineirão,,,,2023-08-19 21:00:00,,1,1,302816,13,264,14,283,1692489600,26,True,saiba como foi,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/19-08-2023/cruzeiro-corinthians.ghtml?utm_source=cartolafc,20
