rodada,equipe,partidas_contraAvgpontos_time,partidas_contraLastpontos_time,partidas_contraAvgMov5pontos_time,partidas_contraAvgMov10pontos_time,partidas_contraAvggols_marcados,partidas_contraLastgols_marcados,partidas_contraAvgMov5gols_marcados,partidas_contraAvgMov10gols_marcados,partidas_contraAvggols_sofridos,partidas_contraLastgols_sofridos,partidas_contraAvgMov5gols_sofridos,partidas_contraAvgMov10gols_sofridos,partidas_contraAvgsaldo_gols,partidas_contraLastsaldo_gols,partidas_contraAvgMov5saldo_gols,partidas_contraAvgMov10saldo_gols,partidas_contraAvgclassificacao,partidas_contraLastclassificacao,partidas_contraAvgMov5classificacao,partidas_contraAvgMov10classificacao,partidas_contraAvgSG_Atq,partidas_contraLastSG_Atq,partidas_contraAvgMov5SG_Atq,partidas_contraAvgMov10SG_Atq,partidas_contraAvgSG_def,partidas_contraLastSG_def,partidas_contraAvgMov5SG_def,partidas_contraAvgMov10SG_def,partidas_contraAvgclassificacao_adv,partidas_contraLastclassificacao_adv,partidas_contraAvgMov5classificacao_adv,partidas_contraAvgMov10classificacao_adv
8,Internacional,0.64,0.5,0.5,0.64,1.71,1.0,1.6,1.71,1.29,1.0,1.4,1.29,0.43,0.0,0.2,0.43,10.86,18.0,14.2,10.86,0.14,0.0,0.2,0.14,0.14,0.0,0.2,0.14,15.0,15.0,15.0,15.0
9,Fortaleza,0.69,1.0,0.7,0.69,1.75,2.0,2.0,1.75,1.12,0.0,1.2,1.12,0.62,2.0,0.8,0.62,11.0,12.0,13.4,11.0,0.12,0.0,0.0,0.12,0.25,1.0,0.4,0.25,15.0,15.0,15.0,15.0
10,Cruzeiro,0.67,0.5,0.8,0.67,1.56,0.0,1.8,1.56,1.0,0.0,0.6,1.0,0.56,0.0,1.2,0.56,11.0,11.0,11.8,11.0,0.22,1.0,0.2,0.22,0.33,1.0,0.6,0.33,15.0,15.0,15.0,15.0
11,Palmeiras,0.65,0.5,0.7,0.65,1.6,2.0,1.6,1.6,1.1,2.0,1.0,1.1,0.5,0.0,0.6,0.5,11.6,17.0,12.6,11.6,0.2,0.0,0.2,0.2,0.3,0.0,0.4,0.3,15.0,15.0,15.0,15.0
12,Fluminense,0.59,0.0,0.5,0.55,1.45,0.0,1.0,1.4,1.09,1.0,0.8,1.1,0.36,-1.0,0.2,0.3,10.82,3.0,12.2,11.5,0.27,1.0,0.4,0.3,0.27,0.0,0.4,0.3,15.0,15.0,15.0,15.0
13,Grêmio,0.62,1.0,0.6,0.55,1.5,2.0,1.2,1.4,1.08,1.0,0.8,1.1,0.42,1.0,0.4,0.3,10.58,8.0,10.2,12.2,0.25,0.0,0.4,0.3,0.25,0.0,0.4,0.3,15.0,15.0,15.0,15.0
14,Cuiabá,0.65,1.0,0.6,0.65,1.54,2.0,1.2,1.6,1.08,1.0,1.0,1.1,0.46,1.0,0.2,0.5,9.92,2.0,8.2,10.8,0.23,0.0,0.4,0.2,0.23,0.0,0.2,0.3,15.0,15.0,15.0,15.0
15,Athlético-PR,0.64,0.5,0.6,0.7,1.5,1.0,1.4,1.6,1.07,1.0,1.2,0.9,0.43,0.0,0.2,0.7,9.93,10.0,8.0,9.9,0.21,0.0,0.2,0.2,0.21,0.0,0.0,0.3,15.0,15.0,15.0,15.0
16,Corinthians,0.67,1.0,0.7,0.7,1.53,2.0,1.4,1.5,1.0,0.0,0.8,0.9,0.53,2.0,0.6,0.6,9.73,7.0,6.0,9.3,0.2,0.0,0.2,0.2,0.27,1.0,0.2,0.3,15.0,15.0,15.0,15.0
17,São Paulo,0.66,0.5,0.8,0.65,1.44,0.0,1.4,1.2,0.94,0.0,0.6,0.7,0.5,0.0,0.8,0.5,10.0,14.0,8.2,10.2,0.25,1.0,0.2,0.3,0.31,1.0,0.4,0.4,15.0,15.0,15.0,15.0
18,América-MG,0.65,0.5,0.7,0.65,1.35,0.0,1.0,1.1,0.88,0.0,0.4,0.6,0.47,0.0,0.6,0.5,9.94,9.0,8.4,9.3,0.29,1.0,0.4,0.4,0.35,1.0,0.6,0.5,15.0,15.0,15.0,15.0
19,Atlético-MG,0.61,0.0,0.5,0.55,1.33,1.0,0.8,1.0,1.0,3.0,0.8,0.9,0.33,-2.0,0.0,0.1,10.5,20.0,12.0,10.1,0.28,0.0,0.4,0.4,0.33,0.0,0.6,0.4,15.0,15.0,15.0,15.0
