rodada,posicao,equipe,setor_proAvgpontuacao,setor_proLastpontuacao,setor_proAvgMov5pontuacao,setor_proAvgMov10pontuacao,setor_proAvgDS,setor_proLastDS,setor_proAvgMov5DS,setor_proAvgMov10DS,setor_proAvgFC,setor_proLastFC,setor_proAvgMov5FC,setor_proAvgMov10FC,setor_proAvgFF,setor_proLastFF,setor_proAvgMov5FF,setor_proAvgMov10FF,setor_proAvgFS,setor_proLastFS,setor_proAvgMov5FS,setor_proAvgMov10FS,setor_proAvgCA,setor_proLastCA,setor_proAvgMov5CA,setor_proAvgMov10CA,setor_proAvgFD,setor_proLastFD,setor_proAvgMov5FD,setor_proAvgMov10FD,setor_proAvgFT,setor_proLastFT,setor_proAvgMov5FT,setor_proAvgMov10FT,setor_proAvgG,setor_proLastG,setor_proAvgMov5G,setor_proAvgMov10G,setor_proAvgDE,setor_proLastDE,setor_proAvgMov5DE,setor_proAvgMov10DE,setor_proAvgGS,setor_proLastGS,setor_proAvgMov5GS,setor_proAvgMov10GS,setor_proAvgGC,setor_proLastGC,setor_proAvgMov5GC,setor_proAvgMov10GC,setor_proAvgI,setor_proLastI,setor_proAvgMov5I,setor_proAvgMov10I,setor_proAvgSG,setor_proLastSG,setor_proAvgMov5SG,setor_proAvgMov10SG,setor_proAvgA,setor_proLastA,setor_proAvgMov5A,setor_proAvgMov10A,setor_proAvgV,setor_proLastV,setor_proAvgMov5V,setor_proAvgMov10V,setor_proAvgPS,setor_proLastPS,setor_proAvgMov5PS,setor_proAvgMov10PS,setor_proAvgPC,setor_proLastPC,setor_proAvgMov5PC,setor_proAvgMov10PC,setor_proAvgCV,setor_proLastCV,setor_proAvgMov5CV,setor_proAvgMov10CV,setor_proAvgDP,setor_proLastDP,setor_proAvgMov5DP,setor_proAvgMov10DP,setor_proAvgPP,setor_proLastPP,setor_proAvgMov5PP,setor_proAvgMov10PP
15,Meia,Botafogo,13.73,23.5,11.32,11.47,4.21,6.0,3.6,3.5,5.21,4.0,3.4,5.0,1.86,2.0,1.6,1.8,5.07,3.0,5.4,4.9,0.64,1.0,1.0,0.7,1.07,2.0,1.2,1.4,0.07,0.0,0.0,0.1,0.36,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Meia,Botafogo,14.65,27.5,15.14,11.9,4.47,8.0,4.4,3.8,5.13,4.0,3.2,4.9,1.87,2.0,1.4,1.8,4.93,3.0,5.0,5.1,0.6,0.0,0.8,0.7,1.0,0.0,1.0,1.1,0.13,1.0,0.2,0.2,0.4,1.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Meia,Botafogo,14.24,8.2,15.68,11.76,4.56,6.0,5.4,4.0,5.12,5.0,3.8,4.9,1.75,0.0,1.4,1.6,5.06,7.0,5.4,5.1,0.62,1.0,1.0,0.8,0.94,0.0,0.6,1.0,0.12,0.0,0.2,0.2,0.38,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Meia,Botafogo,13.59,3.2,15.04,11.32,4.41,2.0,5.0,3.6,5.0,3.0,3.4,4.0,1.65,0.0,1.0,1.5,4.94,3.0,4.6,4.8,0.65,1.0,0.8,0.8,0.94,1.0,0.8,1.0,0.12,0.0,0.2,0.2,0.35,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Meia,Botafogo,13.39,9.9,14.46,10.87,4.44,5.0,5.4,4.0,4.83,2.0,3.6,3.9,1.61,1.0,1.0,1.3,4.94,5.0,4.2,4.8,0.61,0.0,0.6,0.8,0.94,1.0,0.8,1.0,0.11,0.0,0.2,0.1,0.33,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Meia,Botafogo,13.74,20.1,13.78,12.55,4.37,3.0,4.8,4.2,4.84,5.0,3.8,3.6,1.58,1.0,0.8,1.2,4.89,4.0,4.4,4.9,0.58,0.0,0.4,0.7,1.21,6.0,1.6,1.4,0.16,1.0,0.4,0.2,0.32,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Meia,Botafogo,13.56,10.0,10.28,12.71,4.4,5.0,4.2,4.3,4.75,3.0,3.6,3.4,1.7,4.0,1.2,1.3,4.8,3.0,4.4,4.7,0.6,1.0,0.6,0.7,1.2,1.0,1.8,1.4,0.15,0.0,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Meia,Botafogo,14.22,27.5,14.14,14.91,4.81,13.0,5.6,5.5,4.62,2.0,3.0,3.4,1.71,2.0,1.6,1.5,4.9,7.0,4.4,4.9,0.57,0.0,0.4,0.7,1.24,2.0,2.2,1.4,0.14,0.0,0.2,0.2,0.29,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Meia,Botafogo,13.87,6.5,14.8,14.92,5.05,10.0,7.2,6.1,4.73,7.0,3.8,3.6,1.77,3.0,2.2,1.6,4.77,2.0,4.2,4.4,0.64,2.0,0.6,0.7,1.23,1.0,2.2,1.5,0.14,0.0,0.2,0.2,0.27,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Meia,Botafogo,13.42,3.5,13.52,13.99,4.96,3.0,6.8,6.1,4.61,2.0,3.8,3.7,1.7,0.0,2.0,1.5,4.61,1.0,3.4,3.8,0.61,0.0,0.6,0.6,1.17,0.0,2.0,1.4,0.13,0.0,0.2,0.2,0.26,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
