apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,A,DS,FS,FC,FD,FF,PS,CA,G,PC,SG,I,DE,V,GS,CV,FT,scout,rodada,DP,GC,PP
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,,,
Zaracho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_wjGLEpf.png,1.6,4.0,282.0,True,,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,17,,,
Paulinho Bóia,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_6H9EXLa.png,1.1,5.0,327.0,True,,2.0,,1.0,,,,1.0,,,,,,,,,,,17,,,
Yuri Alberto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_QVzSGOZ.png,11.6,5.0,264.0,True,,2.0,2.0,2.0,,1.0,,,1.0,,,,,,,,,,17,,,
Luan Cândido,https://s.sde.globo.com/media/person_role/2022/05/05/a09132195a9936adeadb1a61d65dad2e_FORMATO.png,14.7,2.0,280.0,True,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,17,,,
Júnior Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_20JkUu3.png,2.4,5.0,263.0,True,,1.0,,,1.0,,,,,,,,,,,,,,17,,,
Vitor Jacaré,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_GdFbYPn.png,3.9,5.0,265.0,True,,,,,2.0,2.0,,,,,,1.0,,,,,,,17,,,
Ferreira,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bBuY85e.png,8.5,5.0,284.0,True,1.0,,1.0,,,,,,,,,,,,,,1.0,,17,,,
Ademir,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_AYMEKre.png,5.5,5.0,265.0,True,,2.0,3.0,,,2.0,,,,,,,,,,,,,17,,,
Hugo Moura,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xmqFuth.png,1.4,4.0,293.0,True,,1.0,1.0,1.0,,,,,,,,,,,,,,,17,,,
Alex,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_cgyweD5.png,3.6,3.0,277.0,True,,3.0,,,,,,,,,,,,,,,,,17,,,
Miranda,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_dT3P0NV.png,1.5,3.0,267.0,True,,1.0,,3.0,1.0,,,,,,,,,,,,,,17,,,
Vitinho,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Hob15WK.png,1.3,5.0,280.0,True,,,1.0,,,1.0,,,,,,,,,,,,,17,,,
Anderson Oliveira,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_AFDNRnG.png,1.6,5.0,290.0,True,,,,,,2.0,,,,,,,,,,,,,17,,,
Piquerez,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_04Y9scz.png,2.5,2.0,275.0,True,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,17,,,
Lucas Halter,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_DlFIoVh.png,0.0,3.0,290.0,True,,,,,,,,,,,,,,,,,,,17,,,
Matheus Felipe,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_e7P4JVL.png,1.8,3.0,293.0,True,,2.0,,2.0,,,,,,,,,,,,,,,17,,,
Caio Paulista,https://s.sde.globo.com/media/person_role/2023/01/27/photo_FORMATO_rRBJfVv.png,7.7,2.0,276.0,True,,1.0,,3.0,2.0,,,,,,1.0,,,,,,,,17,,,
Mastriani,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_6Ys1TEq.png,1.3,5.0,327.0,True,,,1.0,,,1.0,,,,,,,,,,,,,17,,,
Canobbio,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_VXCkQFM.png,10.2,5.0,293.0,True,,3.0,6.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,17,,,
Eric Ramires,https://s.sde.globo.com/media/person_role/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,1.0,4.0,280.0,True,,,1.0,1.0,,1.0,,,,,,,,,,,,,17,,,
Matheus Alexandre,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_4eKoeL1.png,2.4,2.0,1371.0,True,,2.0,,,,,,,,,,,,,,,,,17,,,
Emmanuel Martínez,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_cPLErDD.png,4.6,4.0,327.0,True,,2.0,2.0,,1.0,,,,,,,,,,,,,,17,,,
Caetano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_72Ycs9o.png,1.4,3.0,264.0,True,,2.0,,,,,,1.0,,,,,,,,,,,17,,,
Bruno Méndez,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png,2.5,3.0,264.0,True,,1.0,1.0,,,1.0,,,,,,,,,,,,,17,,,
Gabriel Menino,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_a770SrF.png,11.3,4.0,275.0,True,1.0,6.0,,3.0,,,,,,,,,,,,,,,17,,,
Ruan,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Uq9B5Kn.png,3.4,4.0,264.0,True,,2.0,2.0,,,,,,,,,,,,,,,,17,,,
João Lucas,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_tX8ABIy.png,2.9,2.0,277.0,True,,2.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,17,,,
Matheus Bianqui,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_nFBy3HF.png,1.2,4.0,294.0,True,,1.0,2.0,,,,,1.0,,,,,,,,,,,17,,,
Juan Vojvoda,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,2.37,6.0,356.0,True,,,,,,,,,,,,,,,,,,,17,,,
Acevedo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png,6.0,4.0,265.0,True,,5.0,,,,,,,,,,,,,,,,,17,,,
Bento,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,-1.0,1.0,293.0,True,,,,,,,,,,,,,2.0,,3.0,,,,17,,,
Gabriel Xavier,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0UPMoSl.png,7.3,3.0,265.0,True,,3.0,,1.0,,,,1.0,,,1.0,,,,,,,,17,,,
Matheus Bidu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,2.1,2.0,264.0,True,,2.0,,1.0,,,,,,,,,,,,,,,17,,,
Rikelme,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,3.0,5.0,1371.0,True,,1.0,2.0,,,1.0,,,,,,,,,,,,,17,,,
Lucero,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png,-0.2,5.0,356.0,True,,,1.0,2.0,,,,,,,,1.0,,,,,,,17,,,
Lucas Piton,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png,0.3,2.0,267.0,True,,1.0,,3.0,,,,,,,,,,,,,,,17,,,
Bruno Lage,https://s.sde.globo.com/media/person_role/2023/07/12/photo_FORMATO_VnDqhyp.png,5.88,6.0,263.0,True,,,,,,,,,,,,,,1.0,,,,,17,,,
Maurício,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_7KIwg4E.png,0.0,4.0,285.0,True,,,,,,,,,,,,,,,,,,,17,,,
Wesley,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vnwHYu8.png,17.3,5.0,283.0,True,1.0,2.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,17,,,
Matheus Araújo,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png,-1.2,4.0,264.0,True,,,,4.0,,,,,,,,,,,,,,,17,,,
Vinicius Mingotti,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_YH7397F.png,1.9,5.0,265.0,True,,1.0,2.0,1.0,,,,,,,,,,,,,,,17,,,
Rochet,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_AtGShUT.png,1.0,1.0,285.0,True,,,,,,,,,,,,,3.0,,2.0,,,,17,,,
Johnny,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png,2.2,4.0,285.0,True,,1.0,2.0,,,,,,,,,,,,,,,,17,,,
Gabriel Pec,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png,11.1,5.0,267.0,True,,,3.0,,,2.0,,,1.0,,,,,,,,,,17,,,
Figueiredo,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_YrswGSn.png,1.2,4.0,267.0,True,,,,,1.0,,,,,,,,,,,,,,17,,,
Bruno Gomes,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uLOhgzA.png,11.5,4.0,294.0,True,,,3.0,,1.0,1.0,,,1.0,,,,,,,,,,17,,,
Caio Alexandre,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mYQOurq.png,-0.9,4.0,356.0,True,,,,3.0,,,,,,,,,,,,,,,17,,,
Rodrigo Nestor,https://s.sde.globo.com/media/person_role/2022/03/01/70f9ba85a01525e2d77c787e7efb42f7_FORMATO.png,7.2,4.0,276.0,True,,1.0,,2.0,3.0,,,,,,,,,,,,1.0,,17,,,
Welington,https://s.sde.globo.com/media/person_role/2022/03/01/81ffdaa86a436b3f695649fc411cf06b_FORMATO.png,4.7,2.0,276.0,True,,,,1.0,,,,,,,1.0,,,,,,,,17,,,
Juan,https://s.sde.globo.com/media/person_role/2022/03/01/b64f8d56aad317fef852cca695190f34_FORMATO.png,2.0,5.0,276.0,True,,1.0,2.0,,,,,,,,,2.0,,,,,,,17,,,
Luan Patrick,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qBlP0vG.png,6.2,3.0,280.0,True,,1.0,,,,,,,,,1.0,,,,,,,,17,,,
Richard Ríos,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO_RowK2Zx.png,0.2,4.0,275.0,True,,,1.0,1.0,,,,,,,,,,,,,,,17,,,
Michel Araújo,https://s.sde.globo.com/media/person_role/2023/03/30/photo_FORMATO_Z1W5SRZ.png,0.0,4.0,276.0,True,,,,,,,,,,,,,,,,,,,17,,,
Luan Dias,https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_MHA8oKV.png,1.6,4.0,277.0,True,,1.0,2.0,2.0,,,,,,,,,,,,,,,17,,,
André,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_VrJSWeV.png,1.8,4.0,266.0,True,,2.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,17,,,
Natanael,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_t78oWnD.png,-0.4,2.0,294.0,True,,1.0,,2.0,,,,1.0,,,,,,,,,,,17,,,
Praxedes,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_kPHzPIn.png,2.2,4.0,267.0,True,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,17,,,
Fernando Henrique,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_7OiYeRo.png,1.2,4.0,283.0,True,,1.0,,,,,,,,,,,,,,,,,17,,,
Hugo,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_4XBJGTX.png,2.4,2.0,290.0,True,,2.0,,,,,,,,,,,,,,,,,17,,,
Fausto Vera,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_w7tZlR4.png,-0.1,4.0,264.0,True,,1.0,,1.0,,,,1.0,,,,,,,,,,,17,,,
Garcez,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_BtxMdJP.png,2.5,5.0,294.0,True,,1.0,1.0,,,1.0,,,,,,,,,,,,,17,,,
Isidro Pitta,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LlMyePJ.png,0.0,5.0,1371.0,True,,,,,,,,,,,,,,,,,,,17,,,
Erison,https://s.sde.globo.com/media/person_role/2023/02/01/photo_FORMATO_0I7WXAm.png,0.5,5.0,276.0,True,,,1.0,,,,,,,,,,,,,,,,17,,,
Arriagada,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_VPNWNb6.png,1.0,5.0,293.0,True,,,1.0,1.0,,1.0,,,,,,,,,,,,,17,,,
João Magno,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_QhpyCZL.png,-1.0,5.0,290.0,True,,,,3.0,,,,,,,,1.0,,,,,,,17,,,
Victor Sá,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_t9xgUxE.png,11.2,5.0,263.0,True,2.0,,3.0,1.0,,,,,,,,,,,,,,,17,,,
Raul Gustavo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o1bIdBe.png,7.5,3.0,265.0,True,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,17,,,
Calebe,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_AhzCnT2.png,4.8,4.0,356.0,True,,2.0,5.0,,,,,,,,,1.0,,,,,,,17,,,
Marcos Leonardo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_eb1ett7.png,4.2,5.0,277.0,True,,,7.0,3.0,,2.0,,,,,,,,,,,,,17,,,
Joaquim,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_KiHaTyd.png,2.4,3.0,277.0,True,,2.0,,,,,,,,,,,,,,,,,17,,,
Martinelli,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_eSiqEBR.png,2.0,4.0,266.0,True,,1.0,2.0,4.0,1.0,1.0,,1.0,,,,,,,,,,,17,,,
Segovinha,https://s.sde.globo.com/media/person_role/2023/04/04/photo_FORMATO.png,0.5,4.0,263.0,True,,,1.0,,,,,,,,,,,,,,,,17,,,
Abel Ferreira,https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,9.37,6.0,275.0,True,,,,,,,,,,,,,,1.0,,,,,17,,,
Machuca,https://s.sde.globo.com/media/person_role/2023/08/01/photo_FORMATO_LFqKqA7.png,0.0,5.0,356.0,True,,,,,,,,,,,,,,,,,,,17,,,
Esquivel,https://s.sde.globo.com/media/person_role/2023/05/31/photo_FORMATO_DlnAHYU.png,0.0,2.0,293.0,True,,1.0,,4.0,,,,,,,,,,,,,,,17,,,
Andrés Hurtado,https://s.sde.globo.com/media/person_role/2022/05/05/495e0cd517eacede744f14fefa06d6d5_FORMATO.png,7.1,2.0,280.0,True,,2.0,,1.0,,,,,,,1.0,,,,,,,,17,,,
Orellano,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_QTGO9rI.png,10.0,4.0,267.0,True,1.0,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,17,,,
Renato Paiva,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_ZitX2Ik.png,7.46,6.0,265.0,True,,,,,,,,,,,,,,,,,,,17,,,
Leo Fernández,https://s.sde.globo.com/media/person_role/2023/07/04/photo_FORMATO_1kibn8r.png,-2.4,4.0,266.0,True,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,17,,,1.0
Gustavo Martins,https://s.sde.globo.com/media/person_role/2023/05/25/photo_FORMATO_levDrmA.png,4.5,3.0,284.0,True,,3.0,3.0,2.0,,,,,,,,,,,,,,,17,,,
Sorriso,https://s.sde.globo.com/media/person_role/2022/05/05/7924434ef39a0546d8ad7fa23ca14168_FORMATO.png,2.4,5.0,280.0,True,,,,,2.0,,,,,,,,,,,,,,17,,,
Camilo Cándido,https://s.sde.globo.com/media/person_role/2023/08/15/photo_FORMATO_QuaNC1U.png,4.7,2.0,265.0,True,,,,1.0,,,,,,,1.0,,,,,,,,17,,,
António Oliveira,https://s.sde.globo.com/media/person_role/2021/04/27/21a131dcff78d521da3297e98526ce48_FORMATO.png,6.0,6.0,1371.0,True,,,,,,,,,,,,,,1.0,,,,,17,,,
Rodrigo Varanda,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_HDASByG.png,2.6,5.0,327.0,True,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,17,,,
Matheus Cunha,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_xwFOLiN.png,4.0,1.0,262.0,True,,,,,,,,1.0,,,,,6.0,,1.0,,,,17,,,
Guilherme Biro,https://s.sde.globo.com/media/person_role/2022/07/02/ea53a64347e60658cdcbd15ba83320ba_FORMATO.png,1.7,4.0,264.0,True,,1.0,1.0,,,,,,,,,,,,,,,,17,,,
Lucas Beraldo,https://s.sde.globo.com/media/person_role/2022/07/22/aef0c837cb53876eb1509bd8c3eaa586_FORMATO.png,7.9,3.0,276.0,True,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,17,,,
Gabriel Grando,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bv2qwrK.png,1.0,1.0,284.0,True,,,2.0,,,,,,,,,,1.0,,1.0,,,,17,,,
Capasso,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_OaLhk6j.png,0.9,3.0,267.0,True,,1.0,,1.0,,,,,,,,,,,,,,,17,,,
Flaco López,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_V15s07E.png,0.0,5.0,275.0,True,,,,,,,,,,,,,,,,,,,17,,,
Pablo Maia,https://s.sde.globo.com/media/person_role/2022/03/05/e91f0953fe782088f01eda528fd69b2f_FORMATO.png,2.6,4.0,276.0,True,,1.0,4.0,2.0,,,,,,,,,,,,,,,17,,,
Diogo Batista,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_KoGBw9E.png,-0.6,2.0,294.0,True,,,,2.0,,,,,,,,,,,,,,,17,,,
Bruninho,https://s.sde.globo.com/media/person_role/2022/05/05/f1f155231d0b75984084fb05c52de0db_FORMATO.png,10.4,4.0,280.0,True,,1.0,,,1.0,,,,1.0,,,,,,,,,,17,,,
Vitor Roque,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_0B2D0LR.png,2.7,5.0,293.0,True,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,17,,,
Thauan Lara,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_QvNiNqZ.png,0.4,2.0,285.0,True,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,17,,,
Wesley,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_FLI9Vom.png,13.2,2.0,262.0,True,,4.0,2.0,2.0,,,,,1.0,,,,,,,,,,17,,,
Jhon Jhon,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cdZiLf8.png,3.5,4.0,275.0,True,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,17,,,
Denilson,https://s.sde.globo.com/media/person_role/2022/10/15/photo_FORMATO_sqKxYTo.png,5.0,4.0,1371.0,True,1.0,,,,,,,,,,,,,,,,,,17,,,
Victor Hugo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_nUR0WYM.png,1.1,4.0,262.0,True,,1.0,1.0,2.0,,,,,,,,,,,,,,,17,,,
Cuiabano,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ER9oADt.png,2.6,2.0,284.0,True,,3.0,2.0,3.0,,,,1.0,,,,1.0,,,,,,,17,,,
Jamerson,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vdcH1tF.png,2.4,2.0,294.0,True,,2.0,,,,,,,,,,,,,,,,,17,,,
Thiago Borbas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_y6Ph2tU.png,18.8,5.0,280.0,True,1.0,3.0,5.0,7.0,1.0,2.0,,1.0,1.0,,,,,,,,,,17,,,
Pedro Caixinha,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LvzP4JH.png,9.81,6.0,280.0,True,,,,,,,,,,,,,,1.0,,,,,17,,,
Ronald,https://s.sde.globo.com/media/person_role/2023/07/04/photo_FORMATO_juUTHsW.png,-0.8,4.0,284.0,True,,,1.0,1.0,,,,1.0,,,,,,,,,,,17,,,
Rodriguinho,https://s.sde.globo.com/media/person_role/2022/07/03/2c39fe8401bb55ea80a9a5bf0fde08ef_FORMATO.png,0.9,4.0,276.0,True,,1.0,,1.0,,,,,,,,,,,,,,,17,,,
Kauan,https://s.sde.globo.com/media/person_role/2023/05/03/photo_FORMATO.png,0.2,4.0,356.0,True,,,1.0,1.0,,,,,,,,,,,,,,,17,,,
André,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_rIXRX47.png,9.2,5.0,284.0,True,,1.0,,,,,,,1.0,,,,,,,,,,17,,,
Janderson,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ubiTL56.png,1.2,5.0,263.0,True,,,,,1.0,,,,,,,,,,,,,,17,,,
Gustavinho,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_D4mqWRg.png,0.8,4.0,280.0,True,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,17,,,
Bruno Santos,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_TrU9q7C.png,1.8,2.0,290.0,True,,,2.0,4.0,,,,1.0,,,,,,,,,1.0,,17,,,
Breno,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_DHZhRWj.png,0.5,4.0,327.0,True,,,,1.0,,1.0,,,,,,,,,,,,,17,,,
Zinho,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dzNYC4x.png,-0.1,5.0,284.0,True,,,1.0,2.0,,,,,,,,,,,,,,,17,,,
Cauly,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ruw71T7.png,1.6,4.0,265.0,True,,1.0,2.0,2.0,,,,,,,,,,,,,,,17,,,
Luis Guilherme,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_xdmiXWp.png,0.5,4.0,275.0,True,,,1.0,,,,,,,,,,,,,,,,17,,,
Pepa,https://s.sde.globo.com/media/person_role/2023/03/20/photo_FORMATO_o3JUWBe.png,5.61,6.0,283.0,True,,,,,,,,,,,,,,,,,,,17,,,
Nathan Fernandes,https://s.sde.globo.com/media/person_role/2023/11/30/photo_FORMATO_3LOUtyA.png,1.2,5.0,284.0,True,,,,,1.0,,,,,,,,,,,,,,17,,,
Armando Evangelista,https://s.sde.globo.com/media/person_role/2023/06/09/photo_FORMATO_s6ZF5g9.png,2.81,6.0,290.0,True,,,,,,,,,,,,,,,,,,,17,,,
Alisson,,0.2,5.0,282.0,True,,,1.0,1.0,,,,,,,,,,,,,,,17,,,
Thiago Kosloski,https://s.sde.globo.com/media/person_role/2023/06/27/photo_FORMATO.png,3.77,6.0,294.0,True,,,,,,,,,,,,,,,,,,,17,,,
Zapelli,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_hPfi5y5.png,0.5,4.0,293.0,True,,,1.0,,,,,,,,,,,,,,,,17,,,
Diogo Oliveira,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_j3yYqW0.png,8.8,5.0,294.0,True,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,17,,,
Paulinho,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO.png,2.1,4.0,267.0,True,,,3.0,,,2.0,,,,1.0,,,,,,,,,17,,,
Derik Lacerda,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_0IUGoh3.png,4.0,5.0,1371.0,True,,,2.0,,,,,,,,,,,,,,1.0,,17,,,
Fábio,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,5.0,1.0,266.0,True,,,,,,,,,,,1.0,,,,,,,,17,,,
Rafinha,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,8.2,2.0,276.0,True,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,17,,,
Fábio Santos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,0.0,2.0,264.0,True,,,,,,,,,,,,,,,,,,,17,,,
Thiago Heleno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,0.5,3.0,293.0,True,,,1.0,,,,,,,,,,,,,,,,17,,,
Renato Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,6.2,4.0,264.0,True,1.0,,,,1.0,,,,,,,,,,,,,,17,,,
Filipe Luís,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,-0.1,2.0,262.0,True,,1.0,,1.0,,,,1.0,,,,,,,,,,,17,,,
Mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,1.2,2.0,282.0,True,,1.0,,,,,,,,,,,,,,,,,17,,,
Hulk,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,11.7,5.0,282.0,True,,3.0,3.0,4.0,2.0,3.0,,,,,,,,,,,1.0,,17,,,
Alan Franco,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,0.6,4.0,282.0,True,,1.0,,2.0,,,,,,,,,,,,,,,17,,,
Vagner Mancini,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,2.42,6.0,327.0,True,,,,,,,,,,,,,,,,,,,17,,,
Dorival Júnior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,5.88,6.0,276.0,True,,,,,,,,,,,,,,,,,,,17,,,
Vanderlei Luxemburgo,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,4.970000000000001,6.0,264.0,True,,,,,,,,,,,,,,1.0,,,,,17,,,
Renato Gaúcho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,3.43,6.0,284.0,True,,,,,,,,,,,,,,,,,,,17,,,
Cássio,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,3.0,1.0,264.0,True,,,,,,,,,,,,,4.0,,1.0,,,,17,,,
Fagner,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,0.9,2.0,264.0,True,,1.0,,1.0,,,,,,,,,,,,,,,17,,,
Luiz Felipe Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,4.58,6.0,282.0,True,,,,,,,,,,,,,,,,,,,17,,,
Alexandre Pato,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,1.2,5.0,276.0,True,,,1.0,,,1.0,,,,,,1.0,,,,,,,17,,,
David Braz,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,5.0,3.0,266.0,True,,,,,,,,,,,1.0,,,,,,,,17,,,
