apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,A,DS,FS,FC,FD,FF,PS,CA,G,PC,SG,I,DE,V,GS,CV,FT,scout,rodada,DP,GC,PP
Patryck,https://s.sde.globo.com/media/person_role/2022/03/01/73a6760a1b2c4cc7fc70ee0323e11b73_FORMATO.png,5.0,2.0,276.0,True,,,,,,,,,,,1.0,,,,,,,,38,,,
Talles Costa,https://s.sde.globo.com/media/person_role/2022/03/01/46c4e9fd9a32a9e894bd6edc746e403d_FORMATO.png,-0.6,4.0,276.0,True,,,,2.0,,,,,,,,,,,,,,,38,,,
Juan,https://s.sde.globo.com/media/person_role/2022/03/01/b64f8d56aad317fef852cca695190f34_FORMATO.png,-0.6,5.0,276.0,True,,,,2.0,,,,,,,,,,,,,,,38,,,
Luciano Juba,https://s.sde.globo.com/media/person_role/2023/09/01/photo_FORMATO_cccrqnA.png,15.0,5.0,265.0,True,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,38,,,
Richard Ríos,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO_RowK2Zx.png,5.1,4.0,275.0,True,,5.0,2.0,3.0,,,,1.0,,,,,,,,,,,38,,,
Vinicius Kauê,https://s.sde.globo.com/media/person_role/2021/04/16/0367fa0859b4ea67ba8191afd67f560e_FORMATO.png,-0.3,2.0,293.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Rômulo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_A5prVgV.png,2.5,5.0,293.0,True,,1.0,1.0,,,1.0,,,,,,,,,,,,,38,,,
Vanderlan,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_F0bHOxR.png,1.8,2.0,275.0,True,,2.0,,2.0,,,,,,,,,,,,,,,38,,,
André,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_VrJSWeV.png,2.1,4.0,266.0,True,,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,38,,,
Natanael,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_t78oWnD.png,0.2,2.0,294.0,True,,,1.0,1.0,,,,,,,,,,,,,,,38,,,
Praxedes,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_kPHzPIn.png,0.7,4.0,267.0,True,,,1.0,2.0,,1.0,,,,,,,,,,,,,38,,,
Diego Rosa,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_Z8v7YI8.png,1.2,4.0,265.0,True,,1.0,,,,,,,,,,,,,,,,,38,,,
Fernando Henrique,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_7OiYeRo.png,5.7,4.0,283.0,True,,2.0,5.0,,,1.0,,,,,,,,,,,,,38,,,
Fausto Vera,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_w7tZlR4.png,7.4,4.0,264.0,True,,,,2.0,,,,,1.0,,,,,,,,,,38,,,
Isidro Pitta,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_LlMyePJ.png,2.4,5.0,1371.0,True,,,,2.0,,,,,,,,,,,,,1.0,,38,,,
Gabriel Barros,https://s.sde.globo.com/media/person_role/2023/04/11/photo_220x220.png,7.6,5.0,285.0,True,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,38,,,
Erison,https://s.sde.globo.com/media/person_role/2023/02/01/photo_FORMATO_0I7WXAm.png,1.5,5.0,276.0,True,,,2.0,1.0,,1.0,,,,,,,,,,,,,38,,,
Victor Sá,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_t9xgUxE.png,-0.3,5.0,263.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Matheus Nascimento,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_xScuqcn.png,-1.1,5.0,263.0,True,,,,,,,,1.0,,,,1.0,,,,,,,38,,,
Ian Luccas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_HM5lJ1D.png,-0.3,4.0,283.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Calebe,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_AhzCnT2.png,0.5,4.0,356.0,True,,,1.0,,,,,,,,,,,,,,,,38,,,
Marcos Leonardo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_eb1ett7.png,1.3,5.0,277.0,True,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,38,,,
Martinelli,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_eSiqEBR.png,3.7,4.0,266.0,True,,2.0,1.0,,,1.0,,,,,,,,,,,,,38,,,
Hugo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8tyq2bR.png,3.3,2.0,263.0,True,,3.0,,1.0,,,,,,,,,,,,,,,38,,,
Abel Ferreira,https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,3.47,6.0,275.0,True,,,,,,,,,,,,,,,,,,,38,,,
Machuca,https://s.sde.globo.com/media/person_role/2023/08/01/photo_FORMATO_LFqKqA7.png,0.2,5.0,356.0,True,,,1.0,1.0,,,,,,,,,,,,,,,38,,,
Andrés Hurtado,https://s.sde.globo.com/media/person_role/2022/05/05/495e0cd517eacede744f14fefa06d6d5_FORMATO.png,-0.3,2.0,280.0,True,,,,1.0,,,,,,,,,,,,,,,38,,,
Rubens,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JV4BtfR.png,-1.0,2.0,282.0,True,,1.0,,4.0,,,,1.0,,,,,,,,,,,38,,,
